id_pos,amount,avg_daily_savings_normalized,time_saving_coef_normalized,matched_score_normalized,active_days_coef_normalized,lat,lng,dynamic_score
1610,250.0,0.0967631423509,0.5544466622310933,1.0,4.0714,25.6815596,-100.3493575,791.1247912117736
1627,175.0,0.1845114920098,0.5236194278110446,0.0,0.5,-25.6173155,-54.5702727,306.0873804762189
1650,50.0,0.0029857153295,0.7391882900864939,0.0,0.5,16.9135609,-92.0947841,237.71173529502377
1616,300.0,0.0,0.0,0.0,1.3571,19.6871667,-99.2514391,135.71
1680,500.0,3.1072043878045,0.8223552894211579,0.3333333333333333,0.8571,20.5196505,-100.8053381,1817.03914775819
1692,500.0,2.7719696725278,0.785540031049013,0.6666666666666667,1.5714,19.4492622,-100.3589928,1803.8946190092288
1681,500.0,4.0623272570845,0.8265690840541142,0.3333333333333333,1.2857,20.51983,-100.8273636,2290.5806615898314
1679,500.0,13.8077712626041,0.8536260811709915,0.3333333333333333,4.0714,20.5211179,-100.8146784,6950.342504523926
1682,500.0,2.2543223817462,0.8152583721445998,0.3333333333333333,0.7857,20.5469113,-100.8211602,1432.7772943321936
1696,150.0,0.0023394454303,0.83166999334664,0.3333333333333333,0.4286,19.263775,-99.1055227,274.9941486567963
2199,150.0,0.0666316509979,0.6872920825016633,0.3333333333333333,1.0714,19.3650597,-99.1098558,335.535052099971
1710,400.0,14.3791543438906,0.8813484142825461,0.3333333333333333,4.5714,19.1158515,-104.3281118,11537.61754757106
1720,400.0,0.0807913462745,0.8871146595697494,0.0,4.2857,26.08458,-98.2858102,734.079785208275
1729,100.0,0.0920941728953,0.8063872255489024,0.0,1.4286,19.41462,-99.0232536,548.2670682137156
1741,50.0,0.9211096771881,0.9099578620536704,0.0,0.5,16.9070296,-92.0962531,1102.7948300414291
1790,200.0,0.0219119571257,0.5544466622310933,1.0,2.9286,19.4226787,-99.1688277,526.2410117104337
